Freq.	I(C2)/V(o)
2.13796208950223e+007	1.00009999989010e-004,1.34332106443295e-004
2.18776162394955e+007	1.00009999989010e-004,1.37461103271786e-004
2.23872113856834e+007	1.00009999989011e-004,1.40662983547728e-004
2.29086765276777e+007	1.00009999989010e-004,1.43939445665178e-004
2.34422881531992e+007	1.00009999989010e-004,1.47292225882937e-004
2.39883291901949e+007	1.00009999989010e-004,1.50723102365519e-004
2.45470891568503e+007	1.00009999989009e-004,1.54233894469795e-004
2.51188643150958e+007	1.00009999989009e-004,1.57826463414411e-004
2.57039578276886e+007	1.00009999989009e-004,1.61502714026697e-004
2.63026799189538e+007	1.00009999989010e-004,1.65264595503099e-004
2.69153480392691e+007	1.00009999989011e-004,1.69114102729170e-004
2.75422870333816e+007	1.00009999989009e-004,1.73053275611506e-004
2.81838293126445e+007	1.00009999989011e-004,1.77084204490673e-004
2.88403150312660e+007	1.00009999989010e-004,1.81209025452068e-004
2.95120922666638e+007	1.00009999989010e-004,1.85429926137335e-004
3.01995172040201e+007	1.00009999989010e-004,1.89749143581000e-004
3.09029543251359e+007	1.00009999989010e-004,1.94168969160480e-004
3.16227766016837e+007	1.00009999989011e-004,1.98691745024345e-004
3.23593656929628e+007	1.00009999989008e-004,2.03319870883725e-004
3.31131121482591e+007	1.00009999989009e-004,2.08055798940847e-004
3.38844156139202e+007	1.00009999989010e-004,2.12902040920279e-004
3.46736850452531e+007	1.00009999989011e-004,2.17861166732359e-004
3.54813389233575e+007	1.00009999989009e-004,2.22935805418774e-004
3.63078054770101e+007	1.00009999989010e-004,2.28128647233661e-004
3.71535229097172e+007	1.00009999989011e-004,2.33442445859152e-004
3.80189396320561e+007	1.00009999989009e-004,2.38880019145878e-004
3.89045144994280e+007	1.00009999989010e-004,2.44444249780707e-004
3.98107170553497e+007	1.00009999989009e-004,2.50138087144870e-004
4.07380277804112e+007	1.00009999989010e-004,2.55964552295638e-004
4.16869383470335e+007	1.00009999989011e-004,2.61926731928930e-004
4.26579518801592e+007	1.00009999989009e-004,2.68027789903800e-004
4.36515832240165e+007	1.00009999989011e-004,2.74270958852290e-004
4.46683592150962e+007	1.00009999989010e-004,2.80659550823082e-004
4.57088189614874e+007	1.00009999989008e-004,2.87196951251524e-004
4.67735141287197e+007	1.00009999989011e-004,2.93886627282614e-004
4.78630092322637e+007	1.00009999989010e-004,3.00732126380069e-004
4.89778819368445e+007	1.00009999989011e-004,3.07737077110264e-004
5.01187233627271e+007	1.00009999989008e-004,3.14905194621584e-004
5.12861383991364e+007	1.00009999989010e-004,3.22240279581252e-004
5.24807460249771e+007	1.00009999989010e-004,3.29746219510427e-004
5.37031796370251e+007	1.00009999989009e-004,3.37426995224166e-004
5.49540873857623e+007	1.00009999989009e-004,3.45286679755759e-004
5.62341325190348e+007	1.00009999989009e-004,3.53329439855367e-004
5.75439937337156e+007	1.00009999989008e-004,3.61559539900856e-004
5.88843655355588e+007	1.00009999989010e-004,3.69981343600206e-004
6.02559586074356e+007	1.00009999989011e-004,3.78599316305214e-004
6.16595001861481e+007	1.00009999989011e-004,3.87418027379083e-004
6.30957344480192e+007	1.00009999989011e-004,3.96442152619151e-004
6.45654229034654e+007	1.00009999989010e-004,4.05676475361585e-004
6.60693448007594e+007	1.00009999989010e-004,4.15125895187467e-004
6.76082975391980e+007	1.00009999989009e-004,4.24795420290208e-004
6.91830970918935e+007	1.00009999989011e-004,4.34690175371580e-004
7.07945784384136e+007	1.00009999989010e-004,4.44815410377002e-004
7.24435960074988e+007	1.00009999989008e-004,4.55176492400834e-004
7.41310241300915e+007	1.00009999989009e-004,4.65778914236849e-004
7.58577575029182e+007	1.00009999989011e-004,4.76628299797045e-004
7.76247116628690e+007	1.00009999989010e-004,4.87730399201654e-004
7.94328234724279e+007	1.00009999989009e-004,4.99091099719795e-004
8.12830516164097e+007	1.00009999989011e-004,5.10716424080071e-004
8.31763771102669e+007	1.00009999989010e-004,5.22612537894019e-004
8.51138038202374e+007	1.00009999989007e-004,5.34785747793154e-004
8.70963589956078e+007	1.00009999989010e-004,5.47242507247429e-004
8.91250938133743e+007	1.00009999989007e-004,5.59989424725939e-004
9.12010839355907e+007	1.00009999989011e-004,5.73033253184888e-004
9.33254300796988e+007	1.00009999989011e-004,5.86380912408327e-004
9.54992586021433e+007	1.00009999989010e-004,6.00039479569701e-004
9.77237220955808e+007	1.00009999989008e-004,6.14016193572051e-004
9.99999999999997e+007	1.00009999989010e-004,6.28318467039792e-004
1.02329299228075e+008	1.00009999989011e-004,6.42953885404927e-004
1.04712854805090e+008	1.00009999989011e-004,6.57930205366190e-004
1.07151930523760e+008	1.00009999989010e-004,6.73255368631075e-004
1.09647819614318e+008	1.00009999989010e-004,6.88937500803996e-004
1.12201845430196e+008	1.00009999989009e-004,7.04984915564718e-004
1.14815362149688e+008	1.00009999989009e-004,7.21406123826357e-004
1.17489755493953e+008	1.00009999989011e-004,7.38209831163788e-004
1.20226443461741e+008	1.00009999989009e-004,7.55404947125063e-004
1.23026877081238e+008	1.00009999989010e-004,7.73000588788272e-004
1.25892541179416e+008	1.00009999989011e-004,7.91006085595527e-004
1.28824955169313e+008	1.00009999989012e-004,8.09430982928340e-004
1.31825673855640e+008	1.00009999989012e-004,8.28285055428743e-004
1.34896288259165e+008	1.00009999989011e-004,8.47578291450870e-004
1.38038426460288e+008	1.00009999989010e-004,8.67320926105318e-004
1.41253754462275e+008	1.00009999989010e-004,8.87523425795138e-004
1.44543977074592e+008	1.00009999989010e-004,9.08196502153075e-004
1.47910838816820e+008	1.00009999989010e-004,9.29351116317855e-004
1.51356124843620e+008	1.00009999989010e-004,9.50998484745925e-004
1.54881661891248e+008	1.00009999989010e-004,9.73150086807140e-004
1.58489319246111e+008	1.00009999989010e-004,9.95817662627508e-004
1.62181009735892e+008	1.00009999989012e-004,1.01901323580239e-003
1.65958690743755e+008	1.00009999989011e-004,1.04274910328312e-003
1.69824365246174e+008	1.00009999989010e-004,1.06703785014084e-003
1.73780082874937e+008	1.00009999989009e-004,1.09189235459061e-003
1.77827941003892e+008	1.00009999989011e-004,1.11732579292687e-003
1.81970085860998e+008	1.00009999989011e-004,1.14335165597474e-003
1.86208713666286e+008	1.00009999989009e-004,1.16998373731184e-003
1.90546071796324e+008	1.00009999989008e-004,1.19723615951302e-003
1.94984459975804e+008	1.00009999989010e-004,1.22512337217328e-003
1.99526231496887e+008	1.00009999989010e-004,1.25366016146188e-003
2.04173794466952e+008	1.00009999989009e-004,1.28286165796225e-003
2.08929613085403e+008	1.00009999989008e-004,1.31274334247047e-003
2.13796208950222e+008	1.00009999989010e-004,1.34332106532401e-003
2.18776162394954e+008	1.00009999989011e-004,1.37461103023479e-003
2.23872113856833e+008	1.00009999989010e-004,1.40662983676752e-003
2.29086765276776e+008	1.00009999989009e-004,1.43939445229155e-003
2.34422881531991e+008	1.00009999989010e-004,1.47292225868496e-003
2.39883291901948e+008	1.00009999989011e-004,1.50723102296459e-003
2.45470891568502e+008	1.00009999989009e-004,1.54233894619120e-003
2.51188643150957e+008	1.00009999989012e-004,1.57826463004164e-003
2.57039578276885e+008	1.00009999989009e-004,1.61502714138730e-003
2.63026799189537e+008	1.00009999989011e-004,1.65264595055398e-003
2.69153480392690e+008	1.00009999989012e-004,1.69114102568074e-003
2.75422870333815e+008	1.00009999989010e-004,1.73053275763319e-003
2.81838293126444e+008	1.00009999989008e-004,1.77084204682487e-003
2.88403150312659e+008	1.00009999989011e-004,1.81209025390821e-003
2.95120922666637e+008	1.00009999989009e-004,1.85429925822994e-003
3.01995172040200e+008	1.00009999989010e-004,1.89749143977742e-003
3.09029543251358e+008	1.00009999989009e-004,1.94168968997188e-003
3.16227766016836e+008	1.00009999989011e-004,1.98691745295574e-003
3.23593656929627e+008	1.00009999989011e-004,2.03319870931749e-003
3.31131121482589e+008	1.00009999989010e-004,2.08055799118152e-003
3.38844156139201e+008	1.00009999989010e-004,2.12902041243191e-003
3.46736850452530e+008	1.00009999989009e-004,2.17861166848589e-003
3.54813389233574e+008	1.00009999989010e-004,2.22935804950716e-003
3.63078054770099e+008	1.00009999989008e-004,2.28128647323068e-003
3.71535229097171e+008	1.00009999989010e-004,2.33442445750735e-003
3.80189396320559e+008	1.00009999989008e-004,2.38880018839581e-003
3.89045144994279e+008	1.00009999989010e-004,2.44444249690471e-003
3.98107170553495e+008	1.00009999989011e-004,2.50138087713470e-003
4.07380277804111e+008	1.00009999989010e-004,2.55964551827923e-003
4.16869383470333e+008	1.00009999989011e-004,2.61926732603319e-003
4.26579518801590e+008	1.00009999989012e-004,2.68027789511673e-003
4.36515832240164e+008	1.00009999989011e-004,2.74270958745514e-003
4.46683592150961e+008	1.00009999989010e-004,2.80659550547544e-003
4.57088189614873e+008	1.00009999989010e-004,2.87196950807078e-003
4.67735141287196e+008	1.00009999989011e-004,2.93886627166888e-003
4.78630092322636e+008	1.00009999989009e-004,3.00732126106470e-003
4.89778819368443e+008	1.00009999989010e-004,3.07737077199975e-003
5.01187233627270e+008	1.00009999989009e-004,3.14905194565193e-003
5.12861383991362e+008	1.00009999989010e-004,3.22240279378728e-003
5.24807460249770e+008	1.00009999989011e-004,3.29746219161663e-003
5.37031796370250e+008	1.00009999989011e-004,3.37426995872224e-003
5.49540873857621e+008	1.00009999989011e-004,3.45286680283759e-003
5.62341325190346e+008	1.00009999989011e-004,3.53329439665026e-003
5.75439937337154e+008	1.00009999989010e-004,3.61559539577010e-003
5.88843655355585e+008	1.00009999989009e-004,3.69981343142685e-003
6.02559586074354e+008	1.00009999989011e-004,3.78599316355148e-003
6.16595001861478e+008	1.00009999989010e-004,3.87418026653412e-003
6.30957344480189e+008	1.00009999989009e-004,3.96442151758864e-003
6.45654229034652e+008	1.00009999989011e-004,4.05676475740711e-003
6.60693448007592e+008	1.00009999989011e-004,4.15125895463009e-003
6.76082975391978e+008	1.00009999989013e-004,4.24795419742679e-003
6.91830970918932e+008	1.00009999989010e-004,4.34690175440336e-003
7.07945784384134e+008	1.00009999989011e-004,4.44815410342447e-003
7.24435960074986e+008	1.00009999989010e-004,4.55176492262949e-003
7.41310241300913e+008	1.00009999989011e-004,4.65778913995563e-003
7.58577575029179e+008	1.00009999989011e-004,4.76628300259669e-003
7.76247116628687e+008	1.00009999989010e-004,4.87730399579372e-003
7.94328234724277e+008	1.00009999989010e-004,4.99091100012808e-003
8.12830516164094e+008	1.00009999989010e-004,5.10716423423347e-003
8.31763771102666e+008	1.00009999989008e-004,5.22612538018044e-003
8.51138038202371e+008	1.00009999989010e-004,5.34785747832805e-003
8.70963589956075e+008	1.00009999989010e-004,5.47242509056859e-003
8.91250938133740e+008	1.00009999989010e-004,5.59989424596862e-003
9.12010839355904e+008	1.00009999989010e-004,5.73033252971367e-003
9.33254300796985e+008	1.00009999989011e-004,5.86380913103617e-003
9.54992586021430e+008	1.00009999989010e-004,6.00039478170400e-003
9.77237220955804e+008	1.00009999989011e-004,6.14016193104338e-003
1.00000000000000e+009	1.00009999989008e-004,6.28318467551330e-003
